,Race_1,Sprint_1,Race_2,Race_3,Race_4,Race_5,Sprint_2,Race_6,Race_7,Race_8,Race_9,Race_10,Race_11,Race_12,Sprint_3,Race_13,Race_14,Race_15,Race_16,Race_17,Race_18,Race_19,Race_20,Race_21
PIA_Place,9,2,1,3,1,1,2,1,3,3,1,4,2,2,2,1,2,1,3,DNF,4,DNF,5,5
PIA_Points,2,7,25,15,25,25,7,25,15,15,25,12,18,18,7,25,18,25,15,0,12,0,10,10
NOR_Place,1,8,2,2,3,4,1,2,2,1,2,18,1,1,3,2,1,18,2,7,3,DNF,2,1
NOR_Points,25,1,18,18,15,12,8,18,18,25,18,0,25,25,6,18,25,0,18,6,15,0,18,25
VER_Place,2,3,4,1,6,2,17,4,1,4,10,2,DNF,5,1,4,9,2,1,1,2,1,1,3
VER_Points,18,6,12,25,8,18,0,12,25,12,1,18,0,10,8,12,2,18,25,25,18,8,25,15
RUS_Place,3,4,3,5,2,5,4,3,7,11,4,1,5,10,12,5,3,4,5,2,1,5,6,7
RUS_Points,15,5,15,10,18,10,5,15,6,0,12,25,10,1,0,10,15,12,10,18,25,4,8,6
LEC_Place,8,5,16,4,4,3,DNF,7,6,2,3,5,3,14,4,3,4,DNF,4,9,6,2,3,2
LEC_Points,4,3,0,12,12,15,0,6,8,18,15,10,15,0,5,15,12,0,12,2,8,7,15,18
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PIA,2,9,34,49,74,99,106,131,146,161,186,198,216,234,241,266,284,309,324,324,336,336,346,356
NOR,25,26,44,62,77,89,97,115,133,158,176,176,201,226,232,250,275,275,293,299,314,314,332,357
VER,18,24,36,61,69,87,87,99,124,136,137,155,155,165,173,185,187,205,230,255,273,281,306,321
RUS,15,20,35,45,63,73,78,93,99,99,111,136,146,147,147,157,172,184,194,212,237,241,249,255
LEC,4,7,7,19,31,46,46,52,60,78,93,103,118,118,123,138,150,150,162,164,172,179,194,212
