Position,Race1_Points,Race2_Points,Race3_Points,Race4_Points,Race5_Points,Race6_Points,Race7_Points,Race8_Points,Race9_Points
1,8,25,25,8,25,25,8,25,25
2,7,18,18,7,18,18,7,18,18
3,6,15,15,6,15,15,6,15,15
4,5,12,12,5,12,12,5,12,12
5,4,10,10,4,10,10,4,10,10
6,3,8,8,3,8,8,3,8,8
7,2,6,6,2,6,6,2,6,6
8,1,4,4,1,4,4,1,4,4
9,0,2,2,0,2,2,0,2,2
10,0,1,1,0,1,1,0,1,1
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
DNF,0,0,0,0,0,0,0,0,0
